ID,start,end,code,coordenadaX,coordenadaY,resultado_rucks,Velocidad de salida de la pelota,numero_de_jugadores_utilizados,jugador,Periodo,lado_de_cancha,zona_de_la_cancha,resultado,type,origine,fin,Kicker,cote_terrain_fin_action,zona_de_la_cancha_fin_de_accion,tipo_de_pase,resultado_pase,metros_recorridos,tipo_de_juego_con_el_pie,disputas,coordenadaXA,coordenadaYA,altura_de_tackles,Eficiencia,Post tackle accion,tipo_de_defensa,resultado_contactos,numero_de_defensores_abatidos,tipo_de_recuperacion,lado_de_cancha2,zona_de_la_cancha2,orden_de_llegada,Eficiencia linea,tipo_de_perdida_pelota,duel_aerien,tipos_de_faltas,origen_del_falta,tipo_de_puntos,resultado_2,tiempo,numero_de_jugadores_en_el_line,tipo_de_lanzamiento,Lanzador,saltador,resultado_saltador,resultado_lanzador,lado_de_cancha2_fin_de_action,origen_del_try,first_half_chrono,second_half_chrono,jugadores_participantes_scrums_1,jugadores_participantes_scrums_2,jugadores_participantes_scrums_3,jugadores_participantes_scrums_4,jugadores_participantes_scrums_5,tipo_de_lanzamiento_scrum,jugadores_participantes_scrums_1_opp,jugadores_participantes_scrums_2_opp,jugadores_participantes_scrums_3_opp,jugadores_participantes_scrums_4_opp,jugadores_participantes_scrums_5_opp,plaquage_dangereux,tipo_de_juego_con_manos,arret_de_volee,50_22,player_out,player_in,tiempo2,Tarjetas,player_out_yellow,player_in_yellow,scrum_reset
29,890.7043337777778,903.7043337777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,890.7043337777778,946.2546537777778,Argentine - Apoyo en ataque,,,,,,Mayco Geronimo VIVAS,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,891.2601247777778,901.2601247777778,Lions Britanniques et Irlandais - Disputas,49,57,,,,Ben EARL,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,892.3787877777778,909.7385547777778,Argentine - Contactos,36,43,Positivo,3 - 6 sec,3,,1ro cuarto,Centro,22m - 50m,,,,,,,,,,3m,,,,,,,,,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,892.8902797777778,924.0360877777778,Argentine - Pases,,,,,,Gonzalo Jesus GARCIA,1ro cuarto,,,,,,,,,,Simple,Positivo,0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,892.8902797777778,946.4529797777778,Argentine - Pases,15,39,,,,,1ro cuarto,Centro,50m - 22m adv,Positivo,,,,,,,Simple,Positivo,0m,Presion,Contestable et Conteste,17,60,,,,,Positivo,,,,,,,Juego general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,894.0473407777778,935.2726607777778,Argentine - 22m - 50m,,,,,,,1ro cuarto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,894.0473407777778,941.4629797777778,Argentine - Posesion,,,,,,,1ro cuarto,,50m - 22m adv,,,Argentine - Cambio de posesion y contrataque,Lions Britanniques et Irlandais - Cambio de posesion y contrataque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,894.7652137777778,913.7030127777778,Argentine - Pases,,,,,,,1ro cuarto,,,Neutro,,,,,,,Simple,Positivo,1m,,,,,,,,,,,,,,Apoyo en ataque 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,897.6348907777779,907.6348907777779,Lions Britanniques et Irlandais - Tackles,33,62,,,,,1ro cuarto,Centro,50m - 22m adv,Positivo,,,,,,,,,,,,,,Tackles altos,Perdida,Defensor en el suelo,De punta,,,,,,,Linea de ventaja ganada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,900.7030127777778,913.7030127777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,900.9628587777778,916.6601827777778,Argentine - Contactos,10,40,Positivo,0 - 3 sec,3,,1ro cuarto,0 - 20m,22m - 50m,,,,,,,,,,4m,,,,,,,,,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,901.8967157777778,911.8967157777778,Argentine - Pases,,,,,,,1ro cuarto,,,,,,,,,,Simple,Positivo,1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,903.1648887777778,913.1648887777778,Argentine - Pases,,,,,,,1ro cuarto,,,,,,,,,,Simple,Positivo,1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,905.7586147777778,915.7586147777778,Lions Britanniques et Irlandais - Tackles,60,65,,,,,1ro cuarto,20m - 0,50m - 22m adv,Positivo,,,,,,,,,,,,,,Tackles abajo,Perdida,Defensor en el suelo,De punta,,,,,,,Linea de ventaja ganada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,906.0563507777779,916.0563507777779,Lions Britanniques et Irlandais - Asistente tackleador,60,65,,,,Tommy FREEMAN,1ro cuarto,20m - 0,50m - 22m adv,Positivo,,,,,,,,,,,,,,Tackles altos,Perdida,Defensor en el suelo y de pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,906.0563507777779,922.2439457777778,Lions Britanniques et Irlandais - Asistente tackleador,60,65,,,,,1ro cuarto,20m - 0,50m - 22m adv,Positivo,,,,,,,,,,,,,,Tackles altos,Perdida,Defensor en el suelo y de pie,De punta,,,,,,,Linea conservada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
